,Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
912611,672698,7-ELEVEN #2307-16547 16547,Convenience Store,4812,Erskine Way SW, ,Seattle,WA,98116,4425,KING,0.0,0.0,01/22/1997,12/03/1997
912612,510988,7-ELEVEN #2307-16547  ,Convenience Store,4812,Erskine Way SW, ,Seattle,WA,98116,4425,KING,0.0,0.0,12/10/1997,12/18/2002
912615,570162,7-ELEVEN #2307-17381 17381,Convenience Store,9436,Rainier Ave S, ,Seattle,WA,98118,5504,KING,0.0,0.0,10/07/1980,02/09/1999
912616,661797,7-ELEVEN #2307-17381 17381,Convenience Store,9436,Rainier Ave S, ,Seattle,WA,98118,5504,KING,0.0,0.0,02/23/1999,10/14/2001
912617,623599,7-ELEVEN #2307-17381 17381,Convenience Store,9436,Rainier Ave S, ,Seattle,WA,98118,5504,KING,0.0,0.0,11/29/2001,10/31/2002
912619,669739,7-ELEVEN #2307-17486  ,Convenience Store,12702,Renton Ave S, ,Seattle,WA,98178,4850,KING,0.0,0.0,11/27/1989,12/15/1999
912620,267762,7-ELEVEN #2307-17486 17486,Convenience Store,12702,Renton Ave S, ,Seattle,WA,98178,4850,KING,0.0,0.0,01/28/2000,10/03/2000
912621,480614,7-ELEVEN #2307-17486  ,Convenience Store,12702,Renton Ave S, ,Seattle,WA,98178,4850,KING,0.0,0.0,10/27/2000,12/12/2001
912622,620587,7-ELEVEN #2307-19036  ,Convenience Store,1518,W Dravus St, ,Seattle,WA,98119,1719,KING,0.0,0.0,12/28/1988,02/26/1998
912623,575791,7-ELEVEN #2307-19036 19036,Convenience Store,1518,W Dravus St, ,Seattle,WA,98119,1719,KING,0.0,0.0,03/12/1998,04/23/2000
912624,346027,7-ELEVEN #2307-19036 19036,Convenience Store,1518,W Dravus St, ,Seattle,WA,98119,1719,KING,0.0,0.0,05/18/2000,07/04/2001
912625,436767,7-ELEVEN #2307-19042  ,Convenience Store,7314,Aurora Ave N, ,Seattle,WA,98103,5357,KING,0.0,0.0,11/09/1988,02/12/1998
912626,239909,7-ELEVEN #2307-19042  ,Convenience Store,7314,Aurora Ave N, ,Seattle,WA,98103,5357,KING,0.0,0.0,09/03/1998,05/04/1999
912632,303936,7-ELEVEN #2307-23109  ,Convenience Store,362,Denny Way, ,Seattle,WA,98109,4912,KING,0.0,0.0,04/13/1990,04/12/2001
912633,538377,7-ELEVEN #2307-23240 23240,Convenience Store,4747,University Way NE, ,Seattle,WA,98105,4412,KING,0.0,0.0,09/19/1989,03/28/1999
912634,258105,7-ELEVEN #2307-23895  ,Convenience Store,12355,15th Ave NE, ,Seattle,WA,98125,4819,KING,0.0,0.0,02/19/1986,01/24/1999
912635,609213,7-ELEVEN #2307-23931  ,Convenience Store,11657,Des Moines Memorial Dr, ,Seattle,WA,98168,1227,KING,0.0,0.0,10/25/1989,07/11/2001
912636,543127,7-ELEVEN #2307-24404  ,Convenience Store,3801,California Ave SW, ,Seattle,WA,98116,3703,KING,0.0,0.0,01/10/1990,11/28/2000
912637,394258,7-ELEVEN #2307-24407  ,Convenience Store,327,Broadway E, ,Seattle,WA,98102,5414,KING,0.0,0.0,05/12/1988,12/09/1992
912639,284744,7-ELEVEN #2307-25525  ,Convenience Store,1550,NW Market St, ,Seattle,WA,98107,5211,KING,0.0,0.0,08/04/1989,01/26/1993
912642,603159,7-ELEVEN #2307-26055  ,Convenience Store,300,N 125th St, ,Seattle,WA,98133,8124,KING,0.0,0.0,06/01/1987,01/05/1993
912644,299169,7-ELEVEN #2307-26842 26842,Convenience Store,3227,NE 145th St, ,Seattle,WA,98155,7504,KING,0.0,0.0,01/18/1990,06/10/1999
912645,543164,7-ELEVEN #2307-26842 26842,Convenience Store,3227,NE 145th St, ,Seattle,WA,98155,7504,KING,0.0,0.0,07/21/1999,12/06/1999
912646,337721,7-ELEVEN #2307-26939  ,Convenience Store,2419,Harbor Ave SW, ,Seattle,WA,98126,2133,KING,0.0,0.0,05/03/1990,05/29/1997
912647,695052,7-ELEVEN #2307-26939  ,Convenience Store,2419,Harbor Ave SW, ,Seattle,WA,98126,2133,KING,0.0,0.0,06/03/1997,11/28/2000
912650,381491,7-ELEVEN #2307-27279 27279,Convenience Store,5103,25th Ave NE, ,Seattle,WA,98105,4120,KING,0.0,0.0,08/04/1994,05/09/1996
912651,323462,7-ELEVEN #2307-27279  ,Convenience Store,5103,25th Ave NE, ,Seattle,WA,98105,4120,KING,0.0,0.0,05/15/1996,02/02/2000
912652,722882,7-ELEVEN #2307-27280 27280,Convenience Store,9051,35th Ave SW, ,Seattle,WA,98126,3820,KING,0.0,0.0,08/10/1994,12/07/1995
912657,226649,7-ELEVEN #2307-27300 27300,Convenience Store,6256,35th Ave NE, ,Seattle,WA,98115,7315,KING,0.0,0.0,08/04/1994,12/17/1995
912658,502941,7-ELEVEN #2307-27390  ,Convenience Store,6061,M L King Way S, ,Seattle,WA,98118,3141,KING,0.0,0.0,06/22/1987,10/30/1996
912667,1255661,7-Eleven #35541H 35541H,Convenience Store,627,1st Ave, ,Seattle,WA,98104,2209,KING,47.60256,-122.3343,07/26/2016,04/02/2017
912671,992426,7-Eleven 14392b 14392b,Convenience Store,9,Nickerson St, ,Seattle,WA,98109,1619,KING,47.64962,-122.3575,03/11/2011, 
912673,864671,7-Eleven 2360 23895C,Convenience Store,12355,15th Ave NE, ,Seattle,WA,98125,4819,KING,47.71913,-122.3127,02/03/2010,08/17/2017
