,Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
913372,444592,BROOKLYN ST DELI & GAS  ,Convenience Store,4557,Brooklyn Ave NE, ,Seattle,WA,98105,4508,KING,0.0,0.0,06/26/1996,02/28/1999
913384,468743,BUNS MASTER BAKERY  ,Medium Grocery Store,13020,Aurora Ave N, ,Seattle,WA,98133,7507,KING,0.0,0.0,02/05/1992,03/13/1994
913400,1380157,Burien76  ,Convenience Store,12660,1st Ave S,,Seattle,WA,98168,2617,KING,47.4889,-122.3338,10/08/2019, 
913401,1023177,Burqaa Grocery  ,Small Grocery Store,5250,Rainier Ave S, ,Seattle,WA,98118,6104,KING,47.55474,-122.2822,10/19/2011,02/25/2013
913402,1088855,Burqaa Market  ,Small Grocery Store,5250,Rainier Ave S, ,Seattle,WA,98118,6104,KING,47.55474,-122.2822,03/14/2013,12/09/2014
913403,517893,Busy Bee  ,Convenience Store,5015,Rainier Ave S, ,Seattle,WA,98118,1926,KING,47.55672,-122.2845,09/10/1991,09/26/2010
913404,517893,Busy Bee  ,Convenience Store,5015,Rainier Ave S, ,Seattle,WA,98118,1926,KING,47.55672,-122.2845,10/12/2010,09/23/2012
913407,634827,C & C FOOD STORE  ,Convenience Store,3002,Beacon Ave S, ,Seattle,WA,98144,5817,KING,0.0,0.0,06/22/1994,10/03/2001
913408,458178,C & C FOOD STORE  ,Convenience Store,3002,Beacon Ave S, ,Seattle,WA,98144,5817,KING,47.57674,-122.3098,11/23/2001,03/06/2012
913409,458178,C & C FOOD STORE  ,Convenience Store,3002,Beacon Ave S, ,Seattle,WA,98144,5817,KING,47.57674,-122.3098,03/12/2012,01/04/2017
913410,1272087,C & C Food Store  ,Convenience Store,3002,Beacon Ave S, ,Seattle,WA,98144,5817,KING,47.57668,-122.3098,02/02/2017,11/20/2019
913411,1384520,C & C Food Store  ,Convenience Store,3002,Beacon Ave S, ,Seattle,WA,98144,5817,KING,47.57679,-122.3093,12/27/2019, 
913412,587884,C & C VARIETY STORE  ,Convenience Store,1212,E Jefferson St, ,Seattle,WA,98122,5536,KING,0.0,0.0,01/09/1978,11/30/2002
913415,1237191,C & T Asian Market  ,Supermarket,9841,16th Ave SW, ,Seattle,WA,98106,2830,KING,47.51428,-122.3552,04/12/2016,07/10/2019
913417,1050232,Cadeys Mart  ,Convenience Store,8705,15th Ave NW, ,Seattle,WA,98117,3502,KING,47.69255,-122.3768,07/20/2012,01/04/2017
913418,369160,CAFE LYUDMILA  ,Meat/Poultry Specialty,8548,Greenwood Ave N, ,Seattle,WA,98103,3614,KING,0.0,0.0,07/17/1997,09/17/1997
913420,279754,CAMBODIAN ORIENTAL MARKET  ,Unknown,9419,16th Ave SW, ,Seattle,WA,98106,2825,KING,47.51891,-122.3552,05/22/1990,02/22/2006
913423,337893,CAMPBELL & FULLER  ,Convenience Store,207,Yesler Way, ,Seattle,WA,98104,2622,KING,0.0,0.0,01/01/1930,10/03/2001
913430,674340,CAPITAL GROCERY  ,Convenience Store,1535,14th Ave, ,Seattle,WA,98122,4023,KING,0.0,0.0,07/27/2000,03/17/2002
913431,346830,CAPITAL GROCERY  ,Convenience Store,1535,14th Ave, ,Seattle,WA,98122,4023,KING,47.61453,-122.3143,03/19/2002,02/21/2007
913432,394840,CAPITAL GROCERY STORE  ,Convenience Store,1535,14th Ave, ,Seattle,WA,98122,4023,KING,0.0,0.0,08/05/1993,06/01/2000
913433,1362224,Capital Hill Farmers Market  ,Farmers' Market,,E Denny Way,between Broadway and 10th Ave,Seattle,WA,98102, ,KING,47.6185,-122.3285,04/25/2019, 
913434,523678,CAPITAL HILL MARKET  ,Convenience Store,1728,12th Ave, ,Seattle,WA,98122,2436,KING,0.0,0.0,12/21/2000,04/28/2003
913435,685346,CAPITAL HILL MARKET  ,Convenience Store,1728,12th Ave, ,Seattle,WA,98122,2436,KING,47.61728,-122.3168,05/07/2003,09/28/2009
913436,908671,Capital Hill Market  ,Convenience Store,1728,12th Ave, ,Seattle,WA,98122,2436,KING,47.61728,-122.3168,10/29/2009,02/25/2013
913437,380324,CAPITAL HILL RED APPLE  ,Supermarket,1400,E Pine St, ,Seattle,WA,98122,4032,KING,0.0,0.0,11/28/1995,07/16/1998
913438,639140,CAPITOL GROCERY STORE  ,Convenience Store,1535,14th Ave, ,Seattle,WA,98122,4023,KING,0.0,0.0,07/07/1989,07/18/1993
913439,749045,CAPITOL HILL FARMERS MARKET  ,Farmers' Market,1500,10th Ave, ,Seattle,WA,98122,3807,KING,47.61411,-122.3194,04/26/2005,04/09/2008
913440,749045,CAPITOL HILL FARMERS MARKET  ,Farmers' Market,1500,10th Ave, ,Seattle,WA,98122,3807,KING,47.61411,-122.3194,04/29/2008,11/20/2011
913441,570779,CAPITOL HILL MARKET  ,Convenience Store,1728,12th Ave, ,Seattle,WA,98122,2436,KING,0.0,0.0,07/01/1988,04/14/1997
913442,444708,CAPITOL HILL MARKET  ,Convenience Store,1728,12th Ave, ,Seattle,WA,98122,2436,KING,0.0,0.0,04/16/1997,11/30/2000
913443,586502,CAPITOL HILL RED APPLE  ,Supermarket,1400,E Pine St, ,Seattle,WA,98122,4032,KING,0.0,0.0,07/17/1998,08/23/2000
913444,434525,CAPITOL HILL SHOP-RITE #546  ,Supermarket,1400,E Pine St, ,Seattle,WA,98122,4032,KING,0.0,0.0,11/04/1985,11/27/1995
913447,917469,Carleton Avenue Grocery  ,Convenience Store,6601,Carleton Ave S, ,Seattle,WA,98108,3554,KING,47.54411,-122.3212,03/16/2010,04/02/2018
913450,1365980,Carmelita's Mexican Store  ,Small Grocery Store,5041,Rainier Ave S,Ste 102,Seattle,WA,98118,1946,KING,47.55611,-122.2838,06/10/2019,10/06/2020
913451,1210183,Carmelitas Mexican Store  ,Small Grocery Store,5041,Rainier Ave S,Ste 102,Seattle,WA,98118,1946,KING,47.55613,-122.2838,09/16/2015,05/23/2019
913455,804033,CARNICERIA AZTECA  ,Convenience Store,1265,S Main St,Ste 108,Seattle,WA,98144,2003,KING,47.59997,-122.3145,10/31/2006,01/24/2010
913456,402136,Carniceria El Paisano  ,Medium Grocery Store,9629,15th Ave SW, ,Seattle,WA,98106,2821,KING,47.51683,-122.3541,02/26/2001, 
913463,1264509,Carnitas Michoacan  ,Meat/Poultry Specialty,2503,Beacon Ave S, ,Seattle,WA,98144,5125,KING,47.58091,-122.3138,11/07/2016,07/02/2017
913464,250878,CAROUSEL FOODS MARKETPLACE  ,Supermarket,11656,68th Ave S, ,Seattle,WA,98178,2916,KING,0.0,0.0,04/27/1984,01/16/1994
913466,1010503,Cascade Deli Market  ,Convenience Store,422,Yale Ave, ,Seattle,WA,98109, ,KING,47.62246,-122.3304,10/24/2011,02/07/2013
913467,317505,CASCIOPPO BROS MEATS B,Meat/Poultry Specialty,2364,NW 80th St, ,Seattle,WA,98117,4356,KING,0.0,0.0,06/01/1993,08/25/1994
913468,779461,Castillos Supermarket  ,Combination Grocery/Other,10426,16th Ave SW, ,Seattle,WA,98146,1475,KING,47.50915,-122.3551,04/14/2006,03/20/2018
913469,1311117,Castillos Supermarkets 1,Combination Grocery/Other,10426,16th Ave SW, ,Seattle,WA,98146,1475,KING,47.50918,-122.3551,04/05/2018, 
913471,481193,CAT TUONG  ,Unknown,9620,16th Ave SW, ,Seattle,WA,98106,2827,KING,0.0,0.0,06/22/1994,02/28/2005
913472,845859,Catanzaros and Sons  ,Fruits/Veg Specialty,1501,Pike Pl,Ste 2,Seattle,WA,98101,1510,KING,47.60885,-122.3409,04/24/2008,09/21/2011
913475,341920,CEDAR ST GROCERY  ,Convenience Store,401,Cedar St, ,Seattle,WA,98121,1519,KING,47.61798,-122.3477,08/07/1996,08/23/2005
913476,355945,CEDAR STREET GROCERY  ,Convenience Store,401,Cedar St, ,Seattle,WA,98121,1519,KING,0.0,0.0,10/02/1991,07/07/1996
913478,301431,CENTER MINI MART  ,Convenience Store,1505,SW Roxbury St, ,Seattle,WA,98106,2840,KING,0.0,0.0,07/05/1984,03/29/1994
913479,531246,CENTER ORIENTAL GROCERY  ,Meat/Poultry Specialty,9641,15th Ave SW, ,Seattle,WA,98106,2821,KING,47.51603,-122.354,01/31/1986,09/21/2011
913480,571860,CENTER SUPER STORE  ,Convenience Store,2609,5th Ave, ,Seattle,WA,98121,1517,KING,0.0,0.0,01/01/1930,01/24/1991
913482,490646,CENTRAL AREA GROCERY & DELI  ,Convenience Store,1926,E Yesler Way, ,Seattle,WA,98122,5837,KING,0.0,0.0,08/14/1995,05/27/1996
913483,490646,CENTRAL AREA GROCERY & DELI  ,Convenience Store,1926,E Yesler Way, ,Seattle,WA,98122,5837,KING,0.0,0.0,12/10/1996,05/14/2001
913484,321187,Central Co-op  ,Supermarket,1600,E Madison St, ,Seattle,WA,98122,2731,KING,47.61515,-122.3113,10/16/1978, 
913489,309642,CHAMPA ASIAN GROCERY  ,Convenience Store,8115,Rainier Ave S, ,Seattle,WA,98118,4446,KING,0.0,0.0,01/24/1992,02/26/1998
913497,631083,CHANH HUNG BBQ & GROCERY  ,Small Grocery Store,1042,S Jackson St, ,Seattle,WA,98104,3016,KING,0.0,0.0,01/11/1993,12/19/1995
913498,1000824,Cheapskates Tobacco  ,Convenience Store,9891,Aurora Ave N, ,Seattle,WA,98103,3224,KING,47.70094,-122.3447,05/19/2011,12/20/2021
913500,741453,CHECKERS III  ,Convenience Store,10359,51st Ave S, ,Seattle,WA,98178,2161,KING,47.50709,-122.2702,02/16/2005,02/03/2010
913501,741453,CHECKERS III  ,Convenience Store,10359,51st Ave S, ,Seattle,WA,98178,2161,KING,47.50709,-122.2702,03/04/2010,05/02/2013
913502,1102199,Checkers III  ,Convenience Store,10359,51st Ave S, ,Seattle,WA,98178,2161,KING,47.50709,-122.2702,07/26/2013,05/16/2016
913503,1245810,Checkers III  ,Convenience Store,10359,51st Ave S, ,Seattle,WA,98178,2161,KING,47.50713,-122.2702,05/26/2016, 
913504,1015158,Cherry Corner Market & Deli  ,Convenience Store,701,23rd Ave, ,Seattle,WA,98122,4813,KING,47.60822,-122.3028,08/22/2011,08/03/2013
913508,1210966,Chevron 1113,Convenience Store,940,E Marginal Way, ,Seattle,WA,98134, ,KING,47.56145,-122.3394,08/11/2015, 
913513,948455,CHEVRON FOOD MART  ,Convenience Store,6600,Martin Luther King Jr Way S, ,Seattle,WA,98118,3261,KING,47.54297,-122.2839,05/14/2010,07/20/2020
913518,528456,CHICKEN VALLEY FARM STORE  ,Meat/Poultry Specialty,1507,Pike Pl, ,Seattle,WA,98101,1526,KING,0.0,0.0,04/18/1989,09/11/1996
913519,320933,CHINATOWN MARKET  ,Meat/Poultry Specialty,676,S Jackson St, ,Seattle,WA,98104,2929,KING,47.59924,-122.3243,11/07/2000,08/02/2009
913520,701602,CHINATOWN SEAFOOD & MEAT MARKET  ,Meat/Poultry Specialty,700,S Jackson St, ,Seattle,WA,98104,3012,KING,47.59924,-122.3237,01/08/2003,03/22/2009
913521,1130889,Cho Binh Minh Asian Market  ,Combination Grocery/Other,9828,15th Ave Sw,Ste A,Seattle,WA,98106,2848,KING,47.51459,-122.3539,02/13/2014,07/23/2014
913522,443307,CHO PHUOC LOC THO MARKET  ,Unknown,206,12th Ave S, ,Seattle,WA,98144,2084,KING,0.0,0.0,04/17/2000,06/30/2000
913524,436975,CHOI'S PRODUCE & FRUIT  ,Fruits/Veg Specialty,1514,Pike Pl Ste 4, ,Seattle,WA,98101,1574,KING,0.0,0.0,08/01/1994,10/31/1995
913525,480207,CHOI'S PRODUCE & FRUITS  ,Fruits/Veg Specialty,1514,Pike Pl Ste 4, ,Seattle,WA,98101,1574,KING,0.0,0.0,12/04/1995,09/14/2003
913526,251075,CHOICE DELI & GROCERY  ,Convenience Store,6415,8th Ave NW, ,Seattle,WA,98107,2205,KING,0.0,0.0,09/29/1994,12/31/1996
913527,400725,CHOICE DELI & GROCERY  ,Convenience Store,6415,8th Ave NW, ,Seattle,WA,98107,2205,KING,0.0,0.0,01/08/1997,06/30/2002
913528,1030634,Choice Deli & Grocery  ,Convenience Store,6415,8th Ave NW, ,Seattle,WA,98107,2205,KING,47.67566,-122.3661,12/19/2011,07/02/2017
913529,768592,CHOICE PRODUCE  ,Fruits/Veg Specialty,1514,Pike Pl Ste 4, ,Seattle,WA,98101,1574,KING,47.60902,-122.341,07/26/2006,04/28/2014
913530,1135436,Choices Produce  ,Fruits/Veg Specialty,1514,Pike Pl,Ste 4,Seattle,WA,98101,1574,KING,47.60896,-122.3409,04/29/2014, 
913532,604798,CHONG WAH CENTER #2  ,Meat/Poultry Specialty,5002,University Way NE, ,Seattle,WA,98105,4342,KING,0.0,0.0,07/27/1994,01/17/1996
913533,816763,Chu Chu 99 Cent & More Store  ,Medium Grocery Store,1508,NE 117th St, ,Seattle,WA,98125,5139,KING,47.71402,-122.3123,04/17/2007,03/06/2012
913534,816763,Chu Chu 99 Cent & More Store  ,Medium Grocery Store,1508,NE 117th St, ,Seattle,WA,98125,5139,KING,47.71402,-122.3123,03/12/2012,11/05/2014
913536,918009,CI Mart 1,Convenience Store,6256,35th Ave NE, ,Seattle,WA,98115,7315,KING,47.67544,-122.2903,12/03/2009,03/24/2019
913540,399132,CIGARETTE DEPOT  ,Convenience Store,9001,Delridge Way SW, ,Seattle,WA,98106,2335,KING,47.52262,-122.3599,05/25/2004,07/04/2019
913541,399132,CIGARETTE DEPOT  ,Convenience Store,9001,Delridge Way SW, ,Seattle,WA,98106,2335,KING,47.52262,-122.3599,07/16/2019, 
913542,694937,CIGARETTE SHACK  ,Convenience Store,8131,Rainier Ave S, ,Seattle,WA,98118,4446,KING,0.0,0.0,10/22/2002,02/19/2003
913543,372498,CIGARETTE SHACK  ,Convenience Store,8131,Rainier Ave S, ,Seattle,WA,98118,4446,KING,47.52951,-122.2701,05/15/2003,07/11/2005
913544,519188,CINNAMON WORKS  ,Bakery Specialty,1530,Pike Pl, ,Seattle,WA,98101,1527,KING,0.0,0.0,04/11/1983,10/16/1994
913560,328961,CIRCLE K #1464  ,Convenience Store,10207,16th Ave SW, ,Seattle,WA,98146,1433,KING,0.0,0.0,12/10/1981,11/04/1992
913561,317450,CIRCLE K #1476 01476,Convenience Store,12660,1st Ave S, ,Seattle,WA,98168,2617,KING,0.0,0.0,07/06/1982,12/18/2002
913563,405998,CIRCLE K #5039 05039,Convenience Store,2244,Eastlake Ave E, ,Seattle,WA,98102,3419,KING,0.0,0.0,09/10/1992,02/06/2000
913565,539444,CIRCLE K #8794  ,Convenience Store,6352,35th Ave SW, ,Seattle,WA,98126,3004,KING,0.0,0.0,11/16/1988,08/21/1990
913568,413760,CIRCLE K FOODS #1475  ,Convenience Store,6500,12th Ave NE, ,Seattle,WA,98115,6702,KING,0.0,0.0,07/06/1982,08/13/1990
913574,479581,CIRCLE K STORE  01465,Unknown,11005,35th Ave NE, ,Seattle,WA,98125,6809,KING,0.0,0.0,12/10/1981,03/24/1993
913577,1469213,Circle K Stores 2709648,Convenience Store,511,S Dearborn St, ,Seattle,WA,98134,1318,KING,47.5956,-122.3266,08/30/2021, 
913578,1469215,Circle K Stores 2709649,Convenience Store,1013,NE 45th St, ,Seattle,WA,98105,4613,KING,47.66104,-122.317,08/30/2021, 
913579,1469233,Circle K Stores 2709650,Convenience Store,2501,NE 75th St, ,Seattle,WA,98115,4675,KING,47.68276,-122.3003,08/30/2021, 
913580,1469234,Circle K Stores 2709651,Convenience Store,700,12th Ave, ,Seattle,WA,98122,4408,KING,47.60833,-122.3163,08/30/2021, 
913581,1469235,Circle K Stores 2709652,Convenience Store,812,NE 65th St, ,Seattle,WA,98115,5540,KING,47.67609,-122.3191,08/30/2021, 
913582,1469236,Circle K Stores 2709653,Convenience Store,852,Rainier Ave S, ,Seattle,WA,98144,2838,KING,47.59474,-122.3101,08/30/2021, 
913592,1470220,City Cafe And Grocery  ,Convenience Store,13737,Lake City Way NE,,Seattle,WA,98125,3615,KING,47.72934,-122.2926,10/21/2021, 
913593,478107,CITY FISH  ,Seafood Specialty,1535,Pike Pl, ,Seattle,WA,98101,1526,KING,47.60905,-122.3413,07/17/1996,09/21/2011
913594,583693,CITY FISH MARKET  ,Seafood Specialty,1535,Pike Pl, ,Seattle,WA,98101,1526,KING,0.0,0.0,08/11/1969,02/07/1995
913595,554976,CITY FOODS  ,Convenience Store,2522,5th Ave, ,Seattle,WA,98121,1516,KING,0.0,0.0,01/04/1984,06/29/1994
913596,460773,CITY FOODS  ,Convenience Store,2522,5th Ave, ,Seattle,WA,98121,1516,KING,47.61757,-122.3455,09/01/1994,02/17/2016
913597,1235786,City Foods 1,Convenience Store,2522,5th Ave, ,Seattle,WA,98121,1516,KING,47.61779,-122.346,02/25/2016, 
913598,428918,CITY GREENS MARKET  ,Medium Grocery Store,1120,NE 45th St, ,Seattle,WA,98105,4615,KING,0.0,0.0,02/14/2002,06/24/2003
913599,538321,CITY GREENS PRODUCE CO  ,Large Grocery Store,1120,NE 45th St, ,Seattle,WA,98105,4615,KING,0.0,0.0,10/15/1997,12/11/2001
913601,465344,CITY MARKET  ,Supermarket,1722,Bellevue Ave, ,Seattle,WA,98122,2017,KING,47.61702,-122.3267,06/03/1985,10/04/2005
913602,765434,CITY MARKET  ,Small Grocery Store,1722,Bellevue Ave, ,Seattle,WA,98122,2017,KING,47.61702,-122.3267,09/16/2005, 
913603,1402661,City Neighbor Inc. 82481,Convenience Store,665,23rd Ave,,Seattle,WA,98122,6000,KING,47.60783,-122.3033,04/30/2020, 
913604,414334,CJ'S MINI MART & DELI  ,Convenience Store,4001,Gilman Ave W, ,Seattle,WA,98199,1555,KING,0.0,0.0,03/08/1995,08/04/1996
913605,705281,CJ'S MINI MART AND DELI  ,Convenience Store,4001,Gilman Ave W, ,Seattle,WA,98199,1555,KING,0.0,0.0,08/28/1996,07/05/1999
913607,516928,CLAYS MARKET  ,Convenience Store,815,Pike St, ,Seattle,WA,98101,2315,KING,47.6121,-122.332,07/24/2002, 
913608,563939,CLEM'S MINI MART  ,Convenience Store,600,24th Ave S, ,Seattle,WA,98144,2320,KING,0.0,0.0,11/15/1989,01/31/1994
913609,679470,COLD MTR JUICE CO INC  ,Small Grocery Store,2311,N 45th St, ,Seattle,WA,98103,6905,KING,0.0,0.0,03/01/1989,10/04/1992
913611,365165,COLLINS GOLD EXCHANGE & DELI  ,Convenience Store,1101,23rd Ave, ,Seattle,WA,98122,4821,KING,0.0,0.0,12/10/1999,07/11/2001
913612,413603,COLUMBIA CITY FARMERS MARKET  ,Farmers' Market,4801,Rainier Ave S, ,Seattle,WA,98118,1717,KING,0.0,0.0,06/03/1998,03/05/2001
913613,446348,COLUMBIA CITY FARMERS MARKET  ,Farmers' Market,4801,Rainier Ave S, ,Seattle,WA,98118,1717,KING,47.55939,-122.286,05/15/2001,05/17/2011
913614,1362188,Columbia City Farmers Market  ,Farmers' Market,4801,Rainier Ave S, ,Seattle,WA,98118,2181,KING,47.55941,-122.286,04/25/2019, 
913615,1309566,Columbia City Market  ,Convenience Store,3925,Martin Luther King Jr Way S, ,Seattle,WA,98108,1545,KING,47.56836,-122.297,02/06/2018, 
913616,1461090,Columbia City Mart 01,Convenience Store,3810,S Edmunds St,,Seattle,WA,98118,1730,KING,47.55881,-122.2849,08/02/2021, 
913617,1241835,Columbia Market  ,Convenience Store,5015,Rainier Ave S, ,Seattle,WA,98118,1926,KING,47.55671,-122.2844,04/19/2016,04/11/2019
913618,1118197,Congra World Imports  ,Convenience Store,6007,Matin Luther King Jr Way S,Ste A and B,Seattle,WA,98118,3141,KING,47.54747,-122.2864,10/28/2013,09/03/2018
913619,967502,Continental Grocers Inc  ,Medium Grocery Store,7819,Aurora Ave N, ,Seattle,WA,98103,4753,KING,47.68566,-122.3446,09/17/2010,01/04/2012
913620,601736,CONTINENTAL SPICE & GROCERY  ,Small Grocery Store,7819,Aurora Ave N, ,Seattle,WA,98103,4753,KING,0.0,0.0,08/25/1994,03/05/1997
913621,459433,CONTINENTAL SPICES #2  ,Convenience Store,7819,Aurora Ave N, ,Seattle,WA,98103,4753,KING,47.68566,-122.3446,03/06/1997,08/22/2010
913622,1035421,Continental Spices & Halal Meat &Indian Cash&Carry  ,Small Grocery Store,7819,Aurora Ave N, ,Seattle,WA,98103,4753,KING,47.68566,-122.3446,01/20/2012, 
913624,369484,CORNER DELI  ,Convenience Store,656,NW 85th St, ,Seattle,WA,98117,3143,KING,0.0,0.0,10/11/1990,10/16/1994
913625,369484,CORNER DELI  ,Convenience Store,656,NW 85th St, ,Seattle,WA,98117,3143,KING,0.0,0.0,12/12/1994,08/25/1999
913626,470847,CORNER DELI  ,Convenience Store,656,NW 85th St, ,Seattle,WA,98117,3143,KING,47.69068,-122.3658,11/22/2000,04/24/2005
913632,403869,CORNER PRODUCE  ,Fruits/Veg Specialty,1500,Pike Pl # 12, ,Seattle,WA,98101,1527,KING,0.0,0.0,07/01/1987,05/31/1998
913633,235262,CORNER PRODUCE  ,Fruits/Veg Specialty,1500,Pike Pl # 12, ,Seattle,WA,98101,1527,KING,0.0,0.0,06/05/1998,07/08/1999
913634,292715,CORNER PRODUCE  ,Fruits/Veg Specialty,1500,Pike Pl # 12, ,Seattle,WA,98101,1527,KING,0.0,0.0,07/09/1999,10/10/2002
913635,1023896,Corner Produce  ,Fruits/Veg Specialty,1500,Pike Pl,#12,Seattle,WA,98101,1527,KING,47.60875,-122.3405,08/01/2012,06/16/2021
913639,1289799,Corner Store  ,Convenience Store,2809,Thorndyke Ave W,Ste B,Seattle,WA,98119, ,KING,47.65173,-122.378,07/25/2017, 
913640,951192,CORNER STORE & DELI  ,Convenience Store,1720,S Jackson St, ,Seattle,WA,98144,2155,KING,47.5993,-122.31,05/28/2010,05/28/2010
913641,951192,CORNER STORE & DELI  ,Convenience Store,1720,S Jackson St, ,Seattle,WA,98144,2155,KING,47.5993,-122.31,09/03/2010,07/24/2012
913642,1072036,Corner Store & Deli  ,Convenience Store,1720,S Jackson St, ,Seattle,WA,98144,2155,KING,47.5993,-122.31,10/10/2012,08/05/2016
913643,830088,Corner Store Grocery  ,Convenience Store,2809,Thorndyke Ave W, ,Seattle,WA,98119,2986,KING,47.65173,-122.378,09/05/2007,04/09/2008
913649,923425,Costco Wholesale 0001,Super Store,4401,4th Ave S, ,Seattle,WA,98134,2311,KING,47.56377,-122.3295,10/30/2009, 
913650,923444,Costco Wholesale 0106,Super Store,1175,N 205th St, ,Seattle,WA,98133,3206,KING,47.77777,-122.3453,10/30/2009, 
913655,711933,COTTAGE GROVE FOOD MART  ,Convenience Store,5445,Delridge Way SW, ,Seattle,WA,98106,1479,KING,0.0,0.0,03/31/1998,01/02/2000
913656,538762,COTTAGE GROVE MART  ,Convenience Store,5445,Delridge Way SW, ,Seattle,WA,98106,1479,KING,0.0,0.0,01/20/2000,11/28/2001
913657,765448,COTTAGE GROVE MART  ,Convenience Store,5445,Delridge Way SW, ,Seattle,WA,98106,1479,KING,47.5529,-122.3631,09/28/2005,01/04/2007
913658,808304,COTTAGE GROVE MART  ,Convenience Store,5445,Delridge Way SW, ,Seattle,WA,98106,1479,KING,47.5529,-122.3631,01/25/2007,01/23/2013
913659,1079974,Cottage Grove Mart  ,Convenience Store,5445,Delridge Way SW, ,Seattle,WA,98106,1479,KING,47.5529,-122.3631,02/06/2013,09/24/2019
913660,1391823,Cottage Grove Mart  ,Convenience Store,5445,Delridge Way SW,,Seattle,WA,98106,1479,KING,47.55229,-122.363,03/09/2020, 
913661,337518,COTTAGE GROVE SHELL STATION  ,Convenience Store,5445,Delridge Way SW, ,Seattle,WA,98106,1479,KING,47.5529,-122.3631,12/27/2001,09/05/2005
913664,588317,COUNTRY DELI GROCERY  ,Convenience Store,7789,Highland Pkwy SW, ,Seattle,WA,98106,2014,KING,47.53211,-122.3468,02/22/1990,01/25/2006
913665,778414,COUNTRY DELI GROCERY  ,Convenience Store,7789,Highland Park Way SW, ,Seattle,WA,98106,2014,KING,47.53207,-122.3468,02/09/2006,02/25/2019
913669,688127,COWEN PARK GROCERY  ,Small Grocery Store,1217,NE Ravenna Blvd, ,Seattle,WA,98105,2615,KING,0.0,0.0,10/10/1991,01/20/2004
913670,502430,COWEN PARK GROCERY  ,Convenience Store,1217,NE Ravenna Blvd, ,Seattle,WA,98105,2615,KING,47.67137,-122.315,02/03/2004,11/23/2018
913671,1113809,Crisp Harvest Market 1,Large Grocery Store,4321,University Way Ne, ,Seattle,WA,98105,5808,KING,47.66047,-122.3132,10/29/2013,05/05/2015
913684,946775,Crown Hill Grocery Outlet 047,Super Store,8700,15th Ave NW, ,Seattle,WA,98117,3501,KING,47.69253,-122.3767,04/20/2010,04/22/2015
913685,1189095,Crown Hill Grocery Outlet  ,Super Store,8700,15th Ave NW, ,Seattle,WA,98117,3501,KING,47.69254,-122.3767,03/24/2015, 
913686,706516,CROWN MARKET  ,Convenience Store,9525,Aurora Ave N, ,Seattle,WA,98103,3218,KING,47.69822,-122.3447,12/05/2003,03/17/2008
913687,845400,Crown Market  ,Convenience Store,9525,Aurora Ave N, ,Seattle,WA,98103,3218,KING,47.69822,-122.3447,03/24/2008,10/24/2010
913688,982589,Crown Market  ,Convenience Store,9525,Aurora Ave N, ,Seattle,WA,98103,3218,KING,47.69822,-122.3447,12/27/2010,04/07/2015
913689,420828,CROWN MINI-MARKET  ,Convenience Store,9525,Aurora Ave N, ,Seattle,WA,98103,3218,KING,0.0,0.0,08/07/1986,07/05/1999
913690,420828,CROWN MINI-MARKET  ,Convenience Store,9525,Aurora Ave N, ,Seattle,WA,98103,3218,KING,0.0,0.0,08/30/1999,08/20/2000
913700,1221720,CVS 10387,Combination Grocery/Other,2104,N 45th St, ,Seattle,WA,98103,6902,KING,47.66141,-122.3334,11/22/2015, 
913701,1255224,CVS 10331,Combination Grocery/Other,531,Queen Anne Ave N, ,Seattle,WA,98109,4521,KING,47.62422,-122.3568,07/21/2016, 
913703,1285173,CVS 10794,Combination Grocery/Other,2438,32nd Ave W, ,Seattle,WA,98199,3202,KING,47.64089,-122.3983,05/14/2017, 
913704,1287886,CVS 10957,Combination Grocery/Other,4315,University Way NE, ,Seattle,WA,98105,5808,KING,47.66032,-122.3132,06/04/2017, 
913706,1277796,CVS Pharmacy 10982,Combination Grocery/Other,2035,4th Ave, ,Seattle,WA,98121,2414,KING,47.61367,-122.3412,03/10/2017, 
913707,1347477,CVS Pharmacy 11076,Combination Grocery/Other,503,Westlake Ave N, ,Seattle,WA,98109,4304,KING,47.62337,-122.3385,11/29/2018,03/30/2021
913708,1361010,CVS Pharmacy CVS11076,Combination Grocery/Other,503,Westlake Ave N, ,Seattle,WA,98109,4304,KING,47.62337,-122.3385,04/03/2019, 
913711,793955,D & L FOOD MART  ,Convenience Store,4001,California Ave SW, ,Seattle,WA,98116,3707,KING,47.568,-122.3868,08/08/2006,09/29/2016
913716,1206371,Dabal Mini Market  ,Convenience Store,8300,Wabash Ave S,,Seattle,WA,98118,4745,KING,47.52941,-122.2695,08/06/2015,05/05/2020
913719,432755,DALSAN MINI MARKET  ,Meat/Poultry Specialty,3931,Ml King Jr Way S, ,Seattle,WA,98108,1545,KING,0.0,0.0,05/22/2002,09/15/2003
913720,533462,DAN'S BELLTOWN GROCERY  ,Large Grocery Store,2221,3rd Ave, ,Seattle,WA,98121,2018,KING,47.61436,-122.3443,06/16/1989,12/19/2021
913721,247496,DANNYS PRODUCE  ,Fruits/Veg Specialty,1509,Pike Pl # Z, ,Seattle,WA,98101,1526,KING,0.0,0.0,02/24/1988,09/29/1993
913722,730341,Dans Deli Mart  ,Convenience Store,10513,Greenwood Ave N, ,Seattle,WA,98133,8720,KING,47.70559,-122.3555,11/04/2004,11/01/2007
